"ensembl_gene_id","gene_biotype"
"ENSG00000131885","transcribed_unprocessed_pseudogene"
"ENSG00000131982","processed_pseudogene"
"ENSG00000132204","lncRNA"
"ENSG00000132832","lncRNA"
"ENSG00000132967","transcribed_processed_pseudogene"
"ENSG00000133475","transcribed_unprocessed_pseudogene"
"ENSG00000133519","transcribed_unprocessed_pseudogene"
"ENSG00000133624","transcribed_unprocessed_pseudogene"
"ENSG00000134297","transcribed_processed_pseudogene"
"ENSG00000134612","transcribed_unprocessed_pseudogene"
"ENSG00000135502","transcribed_unitary_pseudogene"
"ENSG00000136315","lncRNA"
"ENSG00000141028","unprocessed_pseudogene"
"ENSG00000141979","protein_coding"
"ENSG00000142539","protein_coding"
"ENSG00000144158","processed_pseudogene"
"ENSG00000144188","unprocessed_pseudogene"
"ENSG00000144785","protein_coding"
"ENSG00000145075","lncRNA"
"ENSG00000145835","processed_pseudogene"
"ENSG00000146001","transcribed_unprocessed_pseudogene"
"ENSG00000146556","transcribed_unprocessed_pseudogene"
"ENSG00000146722","transcribed_unprocessed_pseudogene"
"ENSG00000149443","lncRNA"
"ENSG00000149531","unprocessed_pseudogene"
"ENSG00000149656","transcribed_unprocessed_pseudogene"
"ENSG00000150175","transcribed_unprocessed_pseudogene"
"ENSG00000150732","processed_pseudogene"
"ENSG00000151303","lncRNA"
"ENSG00000151631","unprocessed_pseudogene"
"ENSG00000152117","transcribed_processed_pseudogene"
"ENSG00000153923","transcribed_unprocessed_pseudogene"
"ENSG00000154198","transcribed_unprocessed_pseudogene"
"ENSG00000154608","transcribed_unprocessed_pseudogene"
"ENSG00000154874","transcribed_unprocessed_pseudogene"
"ENSG00000154898","transcribed_processed_pseudogene"
"ENSG00000155070","processed_pseudogene"
"ENSG00000157021","unprocessed_pseudogene"
"ENSG00000157306","lncRNA"
"ENSG00000157965","transcribed_unprocessed_pseudogene"
"ENSG00000158482","unprocessed_pseudogene"
"ENSG00000159239","protein_coding"
"ENSG00000159247","transcribed_unprocessed_pseudogene"
"ENSG00000159712","unprocessed_pseudogene"
"ENSG00000159860","transcribed_unprocessed_pseudogene"
"ENSG00000159904","transcribed_unprocessed_pseudogene"
"ENSG00000160172","transcribed_unprocessed_pseudogene"
"ENSG00000160766","transcribed_unprocessed_pseudogene"
"ENSG00000161103","transcribed_processed_pseudogene"
"ENSG00000161912","transcribed_unprocessed_pseudogene"
"ENSG00000162685","processed_pseudogene"
"ENSG00000162699","processed_pseudogene"
"ENSG00000162840","processed_pseudogene"
"ENSG00000162997","transcribed_unitary_pseudogene"
"ENSG00000163016","transcribed_unprocessed_pseudogene"
"ENSG00000163098","transcribed_processed_pseudogene"
"ENSG00000164393","transcribed_unitary_pseudogene"
"ENSG00000164616","transcribed_unitary_pseudogene"
"ENSG00000164669","transcribed_unprocessed_pseudogene"
"ENSG00000164845","transcribed_unprocessed_pseudogene"
"ENSG00000165121","transcribed_unprocessed_pseudogene"
"ENSG00000166007","transcribed_unprocessed_pseudogene"
"ENSG00000166013","unprocessed_pseudogene"
"ENSG00000166104","transcribed_unprocessed_pseudogene"
"ENSG00000166530","processed_pseudogene"
"ENSG00000166693","unprocessed_pseudogene"
"ENSG00000166763","transcribed_unprocessed_pseudogene"
"ENSG00000166787","transcribed_unprocessed_pseudogene"
"ENSG00000166984","transcribed_unprocessed_pseudogene"
"ENSG00000167046","lncRNA"
"ENSG00000167494","transcribed_unprocessed_pseudogene"
"ENSG00000167747","transcribed_unitary_pseudogene"
"ENSG00000167774","protein_coding"
"ENSG00000167798","transcribed_unprocessed_pseudogene"
"ENSG00000167807","protein_coding"
"ENSG00000168122","unprocessed_pseudogene"
"ENSG00000168129","processed_pseudogene"
"ENSG00000168405","transcribed_unitary_pseudogene"
"ENSG00000168852","transcribed_unprocessed_pseudogene"
"ENSG00000168967","transcribed_unprocessed_pseudogene"
"ENSG00000169075","processed_pseudogene"
"ENSG00000169253","processed_pseudogene"
"ENSG00000169662","unprocessed_pseudogene"
"ENSG00000169668","transcribed_unprocessed_pseudogene"
"ENSG00000170089","transcribed_unprocessed_pseudogene"
"ENSG00000170409","unprocessed_pseudogene"
"ENSG00000170629","transcribed_unprocessed_pseudogene"
"ENSG00000170688","unprocessed_pseudogene"
"ENSG00000170919","lncRNA"
"ENSG00000171084","transcribed_unprocessed_pseudogene"
"ENSG00000171101","transcribed_unprocessed_pseudogene"
"ENSG00000171483","transcribed_unprocessed_pseudogene"
"ENSG00000171570","protein_coding"
"ENSG00000171658","transcribed_unprocessed_pseudogene"
"ENSG00000172014","transcribed_unprocessed_pseudogene"
"ENSG00000172148","transcribed_unprocessed_pseudogene"
"ENSG00000172186","processed_pseudogene"
"ENSG00000172250","transcribed_unitary_pseudogene"
"ENSG00000172294","unprocessed_pseudogene"
"ENSG00000172297","unprocessed_pseudogene"
"ENSG00000172342","unprocessed_pseudogene"
"ENSG00000172460","transcribed_unitary_pseudogene"
"ENSG00000172746","unprocessed_pseudogene"
"ENSG00000172799","processed_pseudogene"
"ENSG00000172900","transcribed_unitary_pseudogene"
"ENSG00000172912","processed_pseudogene"
"ENSG00000172971","unprocessed_pseudogene"
"ENSG00000172974","processed_pseudogene"
"ENSG00000173209","transcribed_unitary_pseudogene"
"ENSG00000173231","processed_pseudogene"
"ENSG00000173366","protein_coding"
"ENSG00000173727","transcribed_unprocessed_pseudogene"
"ENSG00000173810","processed_pseudogene"
"ENSG00000173867","protein_coding"
"ENSG00000173954","processed_pseudogene"
"ENSG00000174028","processed_pseudogene"
"ENSG00000174325","lncRNA"
"ENSG00000174353","transcribed_unprocessed_pseudogene"
"ENSG00000174384","unprocessed_pseudogene"
"ENSG00000174403","lncRNA"
"ENSG00000174408","processed_pseudogene"
"ENSG00000174495","processed_pseudogene"
"ENSG00000174678","processed_pseudogene"
"ENSG00000174680","lncRNA"
"ENSG00000174715","processed_pseudogene"
"ENSG00000174899","transcribed_unitary_pseudogene"
"ENSG00000174912","processed_pseudogene"
"ENSG00000174930","unitary_pseudogene"
"ENSG00000174977","processed_pseudogene"
"ENSG00000175170","lncRNA"
"ENSG00000175319","processed_pseudogene"
"ENSG00000175604","lncRNA"
"ENSG00000175658","processed_pseudogene"
"ENSG00000175730","processed_pseudogene"
"ENSG00000175741","processed_pseudogene"
"ENSG00000175772","lncRNA"
"ENSG00000175841","processed_pseudogene"
"ENSG00000176007","processed_pseudogene"
"ENSG00000176043","processed_pseudogene"
"ENSG00000176115","unprocessed_pseudogene"
"ENSG00000176134","transcribed_unprocessed_pseudogene"
"ENSG00000176183","processed_pseudogene"
"ENSG00000176232","transcribed_unprocessed_pseudogene"
"ENSG00000176243","processed_pseudogene"
"ENSG00000176268","processed_pseudogene"
"ENSG00000176289","unprocessed_pseudogene"
"ENSG00000176320","lncRNA"
"ENSG00000176343","processed_pseudogene"
"ENSG00000176349","lncRNA"
"ENSG00000176378","processed_pseudogene"
"ENSG00000176510","protein_coding"
"ENSG00000176515","lncRNA"
"ENSG00000176584","transcribed_unitary_pseudogene"
"ENSG00000176654","transcribed_unprocessed_pseudogene"
"ENSG00000176700","transcribed_unprocessed_pseudogene"
"ENSG00000176752","unprocessed_pseudogene"
"ENSG00000176761","unprocessed_pseudogene"
"ENSG00000176812","processed_pseudogene"
"ENSG00000176826","transcribed_unprocessed_pseudogene"
"ENSG00000176857","processed_pseudogene"
"ENSG00000176868","lncRNA"
"ENSG00000176882","processed_pseudogene"
"ENSG00000176904","transcribed_unprocessed_pseudogene"
"ENSG00000176912","lncRNA"
"ENSG00000176923","unprocessed_pseudogene"
"ENSG00000176933","processed_pseudogene"
"ENSG00000176970","processed_pseudogene"
"ENSG00000176998","unprocessed_pseudogene"
"ENSG00000177173","processed_pseudogene"
"ENSG00000177197","processed_pseudogene"
"ENSG00000177261","processed_pseudogene"
"ENSG00000177337","lncRNA"
"ENSG00000177338","lncRNA"
"ENSG00000177350","transcribed_processed_pseudogene"
"ENSG00000177418","processed_pseudogene"
"ENSG00000177447","processed_pseudogene"
"ENSG00000177725","lncRNA"
"ENSG00000177770","processed_pseudogene"
"ENSG00000177776","processed_pseudogene"
"ENSG00000177803","processed_pseudogene"
"ENSG00000177822","lncRNA"
"ENSG00000177855","processed_pseudogene"
"ENSG00000177946","transcribed_unitary_pseudogene"
"ENSG00000178055","transcribed_unitary_pseudogene"
"ENSG00000178081","transcribed_unprocessed_pseudogene"
"ENSG00000178082","processed_pseudogene"
"ENSG00000178107","lncRNA"
"ENSG00000178146","processed_pseudogene"
"ENSG00000178162","transcribed_unprocessed_pseudogene"
"ENSG00000178458","processed_pseudogene"
"ENSG00000178503","processed_pseudogene"
"ENSG00000178556","processed_pseudogene"
"ENSG00000178596","processed_pseudogene"
"ENSG00000178631","processed_pseudogene"
"ENSG00000178636","transcribed_processed_pseudogene"
"ENSG00000178654","processed_pseudogene"
"ENSG00000178660","processed_pseudogene"
"ENSG00000178836","transcribed_processed_pseudogene"
"ENSG00000179028","lncRNA"
"ENSG00000179031","processed_pseudogene"
"ENSG00000179038","transcribed_processed_pseudogene"
"ENSG00000179073","transcribed_unprocessed_pseudogene"
"ENSG00000179082","lncRNA"
"ENSG00000179101","processed_pseudogene"
"ENSG00000179141","lncRNA"
"ENSG00000179277","processed_pseudogene"
"ENSG00000179342","processed_pseudogene"
"ENSG00000179362","transcribed_processed_pseudogene"
"ENSG00000179420","transcribed_unprocessed_pseudogene"
"ENSG00000179460","processed_pseudogene"
"ENSG00000179577","lncRNA"
"ENSG00000179755","lncRNA"
"ENSG00000179766","transcribed_unprocessed_pseudogene"
"ENSG00000179899","processed_pseudogene"
"ENSG00000179967","processed_pseudogene"
"ENSG00000179978","unprocessed_pseudogene"
"ENSG00000179994","transcribed_unprocessed_pseudogene"
"ENSG00000179997","processed_pseudogene"
"ENSG00000180015","processed_pseudogene"
"ENSG00000180019","transcribed_processed_pseudogene"
"ENSG00000180066","lncRNA"
"ENSG00000180068","transcribed_unprocessed_pseudogene"
"ENSG00000180105","processed_pseudogene"
"ENSG00000180150","processed_pseudogene"
"ENSG00000180172","processed_pseudogene"
"ENSG00000180178","transcribed_unprocessed_pseudogene"
"ENSG00000180189","processed_pseudogene"
"ENSG00000180221","processed_pseudogene"
"ENSG00000180229","transcribed_unprocessed_pseudogene"
"ENSG00000180279","transcribed_unitary_pseudogene"
"ENSG00000180385","transcribed_unprocessed_pseudogene"
"ENSG00000180389","processed_pseudogene"
"ENSG00000180438","transcribed_processed_pseudogene"
"ENSG00000180458","lncRNA"
"ENSG00000180581","processed_pseudogene"
"ENSG00000180610","processed_pseudogene"
"ENSG00000180663","unitary_pseudogene"
"ENSG00000180764","transcribed_processed_pseudogene"
"ENSG00000180803","processed_pseudogene"
"ENSG00000180867","transcribed_processed_pseudogene"
"ENSG00000180910","transcribed_unprocessed_pseudogene"
"ENSG00000181097","lncRNA"
"ENSG00000181101","processed_pseudogene"
"ENSG00000181126","transcribed_unprocessed_pseudogene"
"ENSG00000181227","processed_pseudogene"
"ENSG00000181355","transcribed_unitary_pseudogene"
"ENSG00000181511","processed_pseudogene"
"ENSG00000181705","processed_pseudogene"
"ENSG00000181741","processed_pseudogene"
"ENSG00000181819","processed_pseudogene"
"ENSG00000181977","processed_pseudogene"
"ENSG00000181995","transcribed_unitary_pseudogene"
"ENSG00000182000","processed_pseudogene"
"ENSG00000182021","transcribed_unprocessed_pseudogene"
"ENSG00000182048","transcribed_unprocessed_pseudogene"
"ENSG00000182057","lncRNA"
"ENSG00000182257","lncRNA"
"ENSG00000182347","processed_pseudogene"
"ENSG00000182351","processed_pseudogene"
"ENSG00000182397","transcribed_unprocessed_pseudogene"
"ENSG00000182487","transcribed_unprocessed_pseudogene"
"ENSG00000182531","unprocessed_pseudogene"
"ENSG00000182565","unprocessed_pseudogene"
"ENSG00000182625","processed_pseudogene"
"ENSG00000182632","transcribed_unprocessed_pseudogene"
"ENSG00000182707","processed_pseudogene"
"ENSG00000182722","processed_pseudogene"
"ENSG00000182796","transcribed_unitary_pseudogene"
"ENSG00000182814","transcribed_processed_pseudogene"
"ENSG00000182841","transcribed_unprocessed_pseudogene"
"ENSG00000182912","lncRNA"
"ENSG00000182921","processed_pseudogene"
"ENSG00000182965","processed_pseudogene"
"ENSG00000183022","processed_pseudogene"
"ENSG00000183055","processed_pseudogene"
"ENSG00000183122","transcribed_unprocessed_pseudogene"
"ENSG00000183146","lncRNA"
"ENSG00000183148","transcribed_unprocessed_pseudogene"
"ENSG00000183169","transcribed_unprocessed_pseudogene"
"ENSG00000183239","processed_pseudogene"
"ENSG00000183249","unprocessed_pseudogene"
"ENSG00000183292","transcribed_unprocessed_pseudogene"
"ENSG00000183308","lncRNA"
"ENSG00000183432","processed_pseudogene"
"ENSG00000183506","transcribed_unitary_pseudogene"
"ENSG00000183514","processed_pseudogene"
"ENSG00000183562","lncRNA"
"ENSG00000183566","transcribed_unprocessed_pseudogene"
"ENSG00000183586","processed_pseudogene"
"ENSG00000183604","transcribed_unprocessed_pseudogene"
"ENSG00000183663","processed_pseudogene"
"ENSG00000183666","transcribed_unprocessed_pseudogene"
"ENSG00000183674","lncRNA"
"ENSG00000183909","transcribed_unprocessed_pseudogene"
"ENSG00000183911","processed_pseudogene"
"ENSG00000183929","processed_pseudogene"
"ENSG00000183935","transcribed_processed_pseudogene"
"ENSG00000183981","processed_pseudogene"
"ENSG00000184055","unprocessed_pseudogene"
"ENSG00000184068","lncRNA"
"ENSG00000184084","processed_pseudogene"
"ENSG00000184106","transcribed_unprocessed_pseudogene"
"ENSG00000184115","transcribed_unprocessed_pseudogene"
"ENSG00000184188","processed_pseudogene"
"ENSG00000184208","transcribed_unitary_pseudogene"
"ENSG00000184274","lncRNA"
"ENSG00000184293","transcribed_unitary_pseudogene"
"ENSG00000184303","processed_pseudogene"
"ENSG00000184319","transcribed_unprocessed_pseudogene"
"ENSG00000184414","processed_pseudogene"
"ENSG00000184423","processed_pseudogene"
"ENSG00000184441","lncRNA"
"ENSG00000184523","transcribed_processed_pseudogene"
"ENSG00000184566","lncRNA"
"ENSG00000184612","processed_pseudogene"
"ENSG00000184617","unprocessed_pseudogene"
"ENSG00000184624","unprocessed_pseudogene"
"ENSG00000184761","transcribed_unprocessed_pseudogene"
"ENSG00000184774","transcribed_unitary_pseudogene"
"ENSG00000184795","unprocessed_pseudogene"
"ENSG00000184809","lncRNA"
"ENSG00000184844","processed_pseudogene"
"ENSG00000184906","transcribed_unprocessed_pseudogene"
"ENSG00000185031","processed_pseudogene"
"ENSG00000185037","transcribed_unprocessed_pseudogene"
"ENSG00000185074","unprocessed_pseudogene"
"ENSG00000185168","lncRNA"
"ENSG00000185221","processed_pseudogene"
"ENSG00000185275","processed_pseudogene"
"ENSG00000185319","unprocessed_pseudogene"
"ENSG00000185390","unprocessed_pseudogene"
"ENSG00000185485","transcribed_unprocessed_pseudogene"
"ENSG00000185495","transcribed_unprocessed_pseudogene"
"ENSG00000185596","transcribed_unprocessed_pseudogene"
"ENSG00000185607","processed_pseudogene"
"ENSG00000185638","processed_pseudogene"
"ENSG00000185641","processed_pseudogene"
"ENSG00000185684","transcribed_unprocessed_pseudogene"
"ENSG00000185689","transcribed_unitary_pseudogene"
"ENSG00000185834","processed_pseudogene"
"ENSG00000185986","transcribed_unprocessed_pseudogene"
"ENSG00000186076","processed_pseudogene"
"ENSG00000186148","transcribed_unprocessed_pseudogene"
"ENSG00000186152","unprocessed_pseudogene"
"ENSG00000186268","unprocessed_pseudogene"
"ENSG00000186301","unprocessed_pseudogene"
"ENSG00000186312","transcribed_unprocessed_pseudogene"
"ENSG00000186369","transcribed_unitary_pseudogene"
"ENSG00000186466","unprocessed_pseudogene"
"ENSG00000186481","transcribed_unprocessed_pseudogene"
"ENSG00000186493","lncRNA"
"ENSG00000186508","unprocessed_pseudogene"
"ENSG00000186543","unprocessed_pseudogene"
"ENSG00000186676","processed_pseudogene"
"ENSG00000186704","transcribed_unprocessed_pseudogene"
"ENSG00000186743","processed_pseudogene"
"ENSG00000186831","transcribed_unprocessed_pseudogene"
"ENSG00000186940","processed_pseudogene"
"ENSG00000187103","processed_pseudogene"
"ENSG00000187172","transcribed_unprocessed_pseudogene"
"ENSG00000187229","lncRNA"
"ENSG00000187472","processed_pseudogene"
"ENSG00000187481","unprocessed_pseudogene"
"ENSG00000187483","transcribed_unprocessed_pseudogene"
"ENSG00000187534","processed_pseudogene"
"ENSG00000187536","processed_pseudogene"
"ENSG00000187589","processed_pseudogene"
"ENSG00000187653","processed_pseudogene"
"ENSG00000187762","processed_pseudogene"
"ENSG00000187812","transcribed_unprocessed_pseudogene"
"ENSG00000187870","unprocessed_pseudogene"
"ENSG00000187893","transcribed_unprocessed_pseudogene"
"ENSG00000187904","lncRNA"
"ENSG00000187952","processed_pseudogene"
"ENSG00000187979","lncRNA"
"ENSG00000187984","transcribed_unprocessed_pseudogene"
"ENSG00000187988","processed_pseudogene"
"ENSG00000187999","processed_pseudogene"
"ENSG00000188002","transcribed_unprocessed_pseudogene"
"ENSG00000188013","processed_pseudogene"
"ENSG00000188029","transcribed_unprocessed_pseudogene"
"ENSG00000188086","transcribed_unitary_pseudogene"
"ENSG00000188185","lncRNA"
"ENSG00000188223","protein_coding"
"ENSG00000188280","lncRNA"
"ENSG00000188314","unprocessed_pseudogene"
"ENSG00000188365","lncRNA"
"ENSG00000188383","unprocessed_pseudogene"
"ENSG00000188399","unprocessed_pseudogene"
"ENSG00000188459","processed_pseudogene"
"ENSG00000188460","processed_pseudogene"
"ENSG00000188525","lncRNA"
"ENSG00000188646","processed_pseudogene"
"ENSG00000188662","transcribed_unitary_pseudogene"
"ENSG00000188681","transcribed_unprocessed_pseudogene"
"ENSG00000188707","transcribed_unitary_pseudogene"
"ENSG00000188755","transcribed_unprocessed_pseudogene"
"ENSG00000188765","unprocessed_pseudogene"
"ENSG00000188801","processed_pseudogene"
"ENSG00000188828","transcribed_unitary_pseudogene"
"ENSG00000188831","transcribed_unprocessed_pseudogene"
"ENSG00000188850","transcribed_processed_pseudogene"
"ENSG00000188933","transcribed_unprocessed_pseudogene"
"ENSG00000188985","processed_pseudogene"
"ENSG00000189002","unprocessed_pseudogene"
"ENSG00000189014","unprocessed_pseudogene"
"ENSG00000189089","processed_pseudogene"
"ENSG00000189136","transcribed_unprocessed_pseudogene"
"ENSG00000189145","processed_pseudogene"
"ENSG00000189149","transcribed_unitary_pseudogene"
"ENSG00000189166","unprocessed_pseudogene"
"ENSG00000189212","transcribed_unprocessed_pseudogene"
"ENSG00000189295","lncRNA"
"ENSG00000189332","transcribed_unprocessed_pseudogene"
"ENSG00000189348","protein_coding"
"ENSG00000189366","transcribed_unprocessed_pseudogene"
"ENSG00000189372","unprocessed_pseudogene"
"ENSG00000189423","transcribed_unprocessed_pseudogene"
"ENSG00000195401","misc_RNA"
"ENSG00000196085","processed_pseudogene"
"ENSG00000196096","lncRNA"
"ENSG00000196114","processed_pseudogene"
"ENSG00000196205","processed_pseudogene"
"ENSG00000196266","protein_coding"
"ENSG00000196274","misc_RNA"
"ENSG00000196295","lncRNA"
"ENSG00000196301","unprocessed_pseudogene"
"ENSG00000196302","unprocessed_pseudogene"
"ENSG00000196312","transcribed_unprocessed_pseudogene"
"ENSG00000196364","transcribed_unprocessed_pseudogene"
"ENSG00000196381","transcribed_unprocessed_pseudogene"
"ENSG00000196383","protein_coding"
"ENSG00000196390","processed_pseudogene"
"ENSG00000196395","unprocessed_pseudogene"
"ENSG00000196564","processed_pseudogene"
"ENSG00000196566","lncRNA"
"ENSG00000196593","transcribed_unprocessed_pseudogene"
"ENSG00000196656","transcribed_processed_pseudogene"
"ENSG00000196741","lncRNA"
"ENSG00000196796","unprocessed_pseudogene"
"ENSG00000196826","protein_coding"
"ENSG00000196893","lncRNA"
"ENSG00000196922","transcribed_unprocessed_pseudogene"
"ENSG00000196933","processed_pseudogene"
"ENSG00000196970","transcribed_unprocessed_pseudogene"
"ENSG00000197038","unprocessed_pseudogene"
"ENSG00000197083","transcribed_unprocessed_pseudogene"
"ENSG00000197092","unprocessed_pseudogene"
"ENSG00000197161","unprocessed_pseudogene"
"ENSG00000197185","unprocessed_pseudogene"
"ENSG00000197210","lncRNA"
"ENSG00000197214","processed_pseudogene"
"ENSG00000197254","processed_pseudogene"
"ENSG00000197258","processed_pseudogene"
"ENSG00000197332","lncRNA"
"ENSG00000197334","misc_RNA"
"ENSG00000197358","transcribed_processed_pseudogene"
"ENSG00000197364","unprocessed_pseudogene"
"ENSG00000197376","transcribed_processed_pseudogene"
"ENSG00000197462","lncRNA"
"ENSG00000197475","transcribed_unitary_pseudogene"
"ENSG00000197476","processed_pseudogene"
"ENSG00000197536","lncRNA"
"ENSG00000197549","transcribed_unprocessed_pseudogene"
"ENSG00000197550","unprocessed_pseudogene"
"ENSG00000197582","processed_pseudogene"
"ENSG00000197585","lncRNA"
"ENSG00000197588","transcribed_unprocessed_pseudogene"
"ENSG00000197644","lncRNA"
"ENSG00000197665","lncRNA"
"ENSG00000197670","lncRNA"
"ENSG00000197692","processed_pseudogene"
"ENSG00000197744","processed_pseudogene"
"ENSG00000197794","IG_V_pseudogene"
"ENSG00000197813","lncRNA"
"ENSG00000197815","lncRNA"
"ENSG00000197847","transcribed_unitary_pseudogene"
"ENSG00000197882","unprocessed_pseudogene"
"ENSG00000197990","unprocessed_pseudogene"
"ENSG00000198019","transcribed_unprocessed_pseudogene"
"ENSG00000198022","unprocessed_pseudogene"
"ENSG00000198106","lncRNA"
"ENSG00000198134","processed_pseudogene"
"ENSG00000198155","transcribed_unprocessed_pseudogene"
"ENSG00000198211","protein_coding"
"ENSG00000198221","lncRNA"
"ENSG00000198237","unprocessed_pseudogene"
"ENSG00000198251","unprocessed_pseudogene"
"ENSG00000198277","unprocessed_pseudogene"
"ENSG00000198284","transcribed_processed_pseudogene"
"ENSG00000198406","processed_pseudogene"
"ENSG00000198416","transcribed_unprocessed_pseudogene"
"ENSG00000198454","lncRNA"
"ENSG00000198526","processed_pseudogene"
"ENSG00000198555","unprocessed_pseudogene"
"ENSG00000198580","unprocessed_pseudogene"
"ENSG00000198618","processed_pseudogene"
"ENSG00000198658","unprocessed_pseudogene"
"ENSG00000198671","lncRNA"
"ENSG00000198738","processed_pseudogene"
"ENSG00000198857","transcribed_unprocessed_pseudogene"
"ENSG00000198923","processed_pseudogene"
"ENSG00000199200","misc_RNA"
"ENSG00000199201","misc_RNA"
"ENSG00000199203","misc_RNA"
"ENSG00000199204","misc_RNA"
"ENSG00000199218","misc_RNA"
"ENSG00000199220","misc_RNA"
"ENSG00000199222","misc_RNA"
"ENSG00000199223","misc_RNA"
"ENSG00000199224","misc_RNA"
"ENSG00000199241","misc_RNA"
"ENSG00000199245","misc_RNA"
"ENSG00000199263","misc_RNA"
"ENSG00000199273","misc_RNA"
"ENSG00000199285","misc_RNA"
"ENSG00000199290","misc_RNA"
"ENSG00000199291","misc_RNA"
"ENSG00000199303","misc_RNA"
"ENSG00000199319","misc_RNA"
"ENSG00000199331","misc_RNA"
"ENSG00000199332","misc_RNA"
"ENSG00000199349","misc_RNA"
"ENSG00000199357","misc_RNA"
"ENSG00000199362","misc_RNA"
"ENSG00000199366","misc_RNA"
"ENSG00000199378","misc_RNA"
"ENSG00000199398","misc_RNA"
"ENSG00000199409","misc_RNA"
"ENSG00000199410","misc_RNA"
"ENSG00000199415","rRNA_pseudogene"
"ENSG00000199420","misc_RNA"
"ENSG00000199424","misc_RNA"
"ENSG00000199440","misc_RNA"
"ENSG00000199442","misc_RNA"
"ENSG00000199444","misc_RNA"
"ENSG00000199459","misc_RNA"
"ENSG00000199461","misc_RNA"
"ENSG00000199466","misc_RNA"
"ENSG00000199471","misc_RNA"
"ENSG00000199472","misc_RNA"
"ENSG00000199473","snoRNA"
"ENSG00000199476","misc_RNA"
"ENSG00000199480","rRNA_pseudogene"
"ENSG00000199487","misc_RNA"
"ENSG00000199490","misc_RNA"
"ENSG00000199515","misc_RNA"
"ENSG00000199516","misc_RNA"
"ENSG00000199523","rRNA_pseudogene"
"ENSG00000199530","misc_RNA"
"ENSG00000199540","misc_RNA"
"ENSG00000199546","misc_RNA"
"ENSG00000199550","misc_RNA"
"ENSG00000199565","misc_RNA"
"ENSG00000199567","misc_RNA"
"ENSG00000199580","misc_RNA"
"ENSG00000199584","misc_RNA"
"ENSG00000199591","misc_RNA"
"ENSG00000199595","misc_RNA"
"ENSG00000199622","misc_RNA"
"ENSG00000199630","misc_RNA"
"ENSG00000199633","snoRNA"
"ENSG00000199635","misc_RNA"
"ENSG00000199636","misc_RNA"
